"ASVID","Nov2rep2","Nov3rep2","Nov4rep2","Nov6rep2","Nov9rep2","Nov10rep2","Nov11rep2","Nov12rep2","Nov13rep2","Nov16rep2","Nov17rep2","Nov18rep2","Nov19rep2","Nov20rep2","Nov23rep2","Nov24rep2","Nov25rep2","Nov26rep2","Nov30rep2","Dec1rep2","Dec2rep2","Dec3rep2","Dec4rep2","Dec7rep2","Dec8rep2","Dec9rep2","Dec10rep2","Dec11rep2","Dec14rep2","Dec15rep2","Dec16rep2","Dec17rep2","Dec18rep2","Dec21rep2","Dec22rep2","Dec23rep2","Jan4rep2","Jan5rep2","Jan6rep2","Jan7rep2","Jan8rep2","Jan11rep2","Jan12rep2","Jan13rep2","Jan14rep2","Jan15rep2","Jan18rep2","Jan19rep2","Jan20rep2","Jan21rep2","Jan22rep2","Jan25rep2","Jan26rep2","Jan27rep2","Jan28rep2","Jan29rep2","Feb1rep2","Feb2rep2","Feb3rep2","Feb4rep2","Feb5rep2","Feb8rep2","Feb9rep2","Feb11rep2","Feb12rep2","Feb15rep2","Feb16rep2","Feb18rep2","Feb19rep2","Feb22rep2","Feb23rep2","Feb25rep2","Feb26rep2","Feb29rep2","Mar2rep2","Mar3rep2","Mar4rep2","Mar7rep2","Mar8rep2","Mar9rep2","Mar10rep2","Mar11rep2","Mar14rep2","Mar15rep2","Mar21rep2","Mar22rep2","Mar23rep2","Mar24rep2","Mar31rep2","Apr18rep2","Apr19rep2"
"OTU_1",286,328,254,188,123,112,112,136,128,160,173,203,134,34,127,90,120,104,169,142,120,166,179,165,165,144,141,163,159,153,178,174,33,90,112,121,18,82,83,70,85,94,98,95,67,84,76,77,82,71,38,71,86,79,56,80,88,65,91,90,103,74,96,95,74,64,92,90,70,61,60,93,98,82,102,93,95,106,104,82,124,92,80,110,99,125,109,71,168,50,38
"OTU_2",111,57,50,107,161,172,98,167,177,193,168,93,94,125,77,86,119,118,186,159,181,225,150,177,188,243,226,182,66,121,38,13,80,131,134,146,104,134,109,111,96,168,124,113,51,123,118,73,110,122,96,83,88,110,79,87,82,78,99,102,78,93,67,78,66,72,80,63,66,66,71,52,71,43,34,48,60,54,64,54,42,59,43,53,48,43,45,34,71,2,0
"OTU_3",92,22,94,149,173,148,169,128,142,107,116,101,114,62,123,99,140,84,115,103,95,123,128,147,119,126,113,96,89,74,81,55,42,94,115,102,96,102,107,116,110,103,76,72,124,101,87,120,106,101,113,96,107,100,101,100,106,100,103,95,92,90,122,109,100,111,124,113,116,90,67,80,66,84,87,69,87,66,86,79,67,61,61,37,34,42,62,37,10,3,12
"OTU_4",44,11,75,90,67,78,91,62,46,31,39,40,64,62,90,97,89,78,59,85,66,59,87,97,82,77,88,38,73,63,75,64,113,81,68,82,124,67,88,82,84,75,61,76,78,101,75,70,94,77,78,64,80,60,66,83,47,63,63,93,93,38,81,70,138,83,42,34,40,34,50,28,23,84,87,73,115,108,105,117,125,99,84,107,116,119,130,84,42,40,30
"OTU_6",9,7,10,33,107,101,107,95,55,95,29,22,27,61,72,82,68,61,50,52,73,55,71,65,80,64,59,53,16,45,20,11,19,63,72,53,100,55,74,98,92,78,69,99,57,129,88,67,100,90,157,103,73,80,97,103,88,71,95,96,87,73,102,93,78,86,48,71,78,61,39,45,76,46,41,32,44,38,37,38,26,23,25,15,21,6,9,15,0,0,0
