SampleID,Days,Season,Flowrate,COD.rm,BOD.rm,NH4.rm,TN.rm,TP.rm,COD.rmr,BOD.rmr,NH4.rmr,TN.rmr,TP.rmr,FM,pH,DO,Temp.AS,MLSS,SVI,SRT,Temp.Avg.SamplingDate,Precipitation.SamplingDate,Temp.Avg.WeekMean,Precipitation.WeekMean,Precipitation.WeekAccum,Precipitation.MonthAccum
SE1A,0,1,18310,0.770728432,0.945454545,0.908,0.737142857,0.718181818,0.234671707,0.15185327,0.033144896,0.037671292,0.003460502,0.229448622,6.7,0.87,10.7,3300,0,14.01,4.44,0,3.49,0,0,0
SE2A,7,1,16445,0.814365467,0.955833333,0.757692308,0.694444444,0.779487179,0.254519691,0.157580744,0.027064871,0.034346282,0.004176508,0.235517365,6.9,0.92,11.1,3150,0,16.17,6.67,0,4.13,0,0,0
SE3A,14,1,18365,0.815058377,0.956,0.912903226,0.765,0.961111111,0.407316368,0.252013493,0.04973488,0.053776938,0.00912099,0.3765892,6.6,0.97,11.1,2750,204,8.64,1.67,0,1.27,0,0,0
SE4A,21,1,23084,0.690510695,0.926373626,0.835714286,0.6,0.6,0.249525053,0.176586316,0.049016842,0.037705263,0.003770526,0.272315789,6.7,0.9,10.3,2900,193,31.58,3.33,0,2.46,0,0,0
SE5A,28,1,18256,0.735795026,0.937142857,0.975517241,0.72972973,0.567567568,0.312722077,0.21010414,0.045303705,0.043237895,0.003362947,0.320280702,6.6,0.75,11.5,3000,173,9.81,7.22,0,3.25,0,0,0
SE6A,35,1,27627,-0.935591338,0.539473684,0.786666667,0.322580645,0.38,-0.350011241,0.106457425,0.030638966,0.025965226,0.004933393,0.281908163,6.6,1.15,11.4,2800,193,10.24,5.56,0,5.24,0,0,0
SE7A,42,1,17736,0.808095866,0.954347826,0.975,0.71875,0.763636364,0.202405817,0.126090753,0.030804632,0.033030607,0.003619006,0.188746327,6.7,1.78,12.2,3250,178,9.44,8.89,0,7.38,0,0,0
SE8A,49,1,16865,0.815702982,0.956153846,0.994074074,0.751282051,0.731707317,0.292525535,0.180873123,0.039055789,0.042635418,0.004365401,0.270239122,6.7,1.21,12.8,3050,177,8.89,4.44,0,6.43,0,0,0
SE9A,56,1,19285,0.809466873,0.954666667,0.996538462,0.770588235,0.732258065,0.389387833,0.242246667,0.043831083,0.044321667,0.003840083,0.3625,6.8,3.62,13.3,3000,187,11.12,10,0,7.22,0,0,0
SE10A,63,1,16344,0.65532521,0.918,0.994827586,0.756097561,0.641509434,0.184248196,0.136150563,0.042788058,0.04597677,0.005042613,0.211874514,6.8,1.53,13.5,2900,169,9.06,7.78,0,7.38,0,0,0
SE11A,70,1,11897,0.842828311,0.962608696,0.932142857,0.752631579,0.819047619,0.390011466,0.234968403,0.027699527,0.030352739,0.003650819,0.348707786,6.8,1.21,13.9,2950,190,12.72,8.33,0,7.94,0,0,0
SE12A,77,1,14731,0.873899886,0.97,0.9971875,0.733333333,0.716981132,0.443720275,0.259801273,0.044982412,0.046518947,0.005356727,0.382623377,6.8,0.54,14.6,2750,175,33.92,9.44,0,8.41,0,0,0
SE13A,84,2,19302,0.883586934,0.972307692,0.990769231,0.730555556,0.433333333,0.362657767,0.210506713,0.042900735,0.043800052,0.002165022,0.309288796,6.8,1.21,14.2,3050,193,21.51,9.44,0,8.49,0,0,0
SE14A,91,2,15098,0.915943558,0.98,0.99625,0.802325581,0.622222222,0.492785098,0.278121053,0.045237241,0.048954981,0.003973158,0.405424275,6.8,0.83,15.5,2800,175,10.47,10,0,11.19,0,0,0
SE15A,98,2,20562,0.923237466,0.98173913,0.997058824,0.788636364,0.5,0.751110082,0.421315753,0.063253339,0.064746044,0.003545172,0.613074929,6.8,0.92,15.9,2900,214,10.64,8.33,0,11.43,0,0,0
SE16A,105,2,16887,0.893691625,0.974705882,0.996875,0.823809524,0.755102041,0.422409664,0.243023788,0.046786113,0.050746066,0.005426602,0.356186258,6.7,1.05,16.1,3030,264,12.37,10.56,0,12.46,0,0,0
SE17A,112,2,16098,0.929204031,0.983157895,0.995714286,0.808510638,0.711111111,0.450111915,0.251220251,0.046868446,0.051104762,0.004303559,0.365034014,6.8,0.95,16.8,3150,292,10.81,15.56,0,13.17,0,0,0
SE18A,119,2,21677,0.898625376,0.975882353,0.992105263,0.817647059,0.644444444,0.552513572,0.316512436,0.071925973,0.079557375,0.005532767,0.463335177,6.9,0.9,17.6,2990,241,6.39,13.89,0,17.7,0,0,0
SE19A,126,2,15657,0.906932931,0.977857143,0.992272727,0.827586207,0.654545455,0.341981842,0.194504837,0.062031272,0.068197459,0.005114809,0.28415608,6.8,1.2,17.9,2900,234,6.77,14.44,0,13.89,0,0,0
SE20A,133,2,15775,0.932744296,0.984,0.993993507,0.818181818,0.803571429,0.476660009,0.265252905,0.054126202,0.060652341,0.006065234,0.385094229,6.8,1.15,18,3080,253,13.61,13.33,0,13.97,0,0,0
SE21A,140,2,15977,0.962919291,0.991176471,0.996046512,0.8,0.75,0.401456084,0.217985789,0.055408495,0.056922105,0.005433474,0.314180451,6.9,0.85,17.9,3250,234,6.7,13.33,0,12.86,0,0,0
SE22A,147,2,16765,0.893325218,0.974615385,0.991315789,0.775510204,0.571428571,0.308842975,0.177736215,0.052843908,0.053306836,0.003927872,0.260462976,6.8,0.3,17.7,3145,127,7.65,16.67,0,14.6,0,0,0
SE23A,154,2,15429,0.897927656,0.975714286,0.996153846,0.803921569,0.471698113,0.322533771,0.184877316,0.052580408,0.055490263,0.003383553,0.270684211,6.8,0.8,18.6,3000,147,8.09,14.44,0,15.71,0,0,0
SE24A,161,2,13215,0.973735109,0.99375,0.997567568,0.8,0.5,0.531274179,0.286005218,0.044261856,0.047967332,0.003117877,0.411148561,6.9,1.1,18.7,2900,166,10.77,17.78,0,17.62,0,0,0
SE25A,168,2,16405,0.964979633,0.991666667,0.99804878,0.828301887,0.535714286,0.481876753,0.261221454,0.059883372,0.06424438,0.004390277,0.376309418,6.9,0.81,18.7,2950,163,12.36,14.44,0,16.75,0,0,0
SE26A,175,3,14510,0.9369626,0.985,0.991470588,0.852272727,0.64516129,0.233871706,0.129694646,0.044385853,0.049376134,0.002633394,0.188099559,6.8,0.79,18.1,2900,138,21.25,13.33,0,14.05,0,0,0
SE27A,182,3,14183,0.9369626,0.985,0.997714286,0.854347826,0.7625,0.236765457,0.131299389,0.046547966,0.052386457,0.004065616,0.19042696,6.9,0.91,17.6,2800,143,23.6,13.33,0,11.51,0,0,0
SE28A,189,3,15816,0.936954012,0.985,0.996492064,0.834803118,0.675806452,0.380917308,0.212987644,0.04546691,0.050881296,0.003963265,0.309605776,6.85,0.95,17.1,2880,152.5,10.705,12.22,0,13.33,0,0,0
SE29A,196,3,19227,0.936954012,0.985,0.995555556,0.805,0.706451613,0.380917308,0.212987644,0.047388755,0.056767779,0.003860914,0.309605776,6.7,2.11,16.5,2870,153,8.52,12.22,0,11.75,0,0,0
SE30A,203,3,13987,0.936954012,0.985,0.996492064,0.842652174,0.675806452,0.380917308,0.212987644,0.041622176,0.045765557,0.003878377,0.309605776,6.4,1.91,16.6,2890,152,8.785,10,0,10.08,0,0,0
SE31A,210,3,12424,0.927614805,0.982777778,0.9925,0.82,0.405405405,0.38047298,0.212635991,0.033403924,0.039426006,0.001803019,0.309088899,6.9,0.99,15.9,2720,162,8.785,7.78,0,10,0,0,0
SE32A,217,3,11985,0.926440723,0.9825,0.997428571,0.841304348,0.8,0.381361636,0.213339297,0.037901653,0.042016442,0.004342785,0.310122652,6.9,0.75,15.6,2905,172,9.05,6.67,0,6.43,0,0,0
SE33A,231,3,11236,0.936945423,0.985,0.997435897,0.844,0.629032258,0.49680941,0.275505761,0.038858499,0.042154979,0.003895839,0.399573257,6.8,0.61,15,2960,162,5.82,5.56,0,7.3,0,0,0
SE34A,238,3,11293,0.966823066,0.992105263,0.997777778,0.827083333,0.545454545,0.38760835,0.209809827,0.039980737,0.044188064,0.003339148,0.30211343,6.8,1.05,15.3,2670,165,5.07,8.89,0,6.03,0,0,0
SE35A,245,3,15791,0.873927013,0.97,0.991304348,0.787096774,0.527777778,0.237771779,0.139213393,0.029747567,0.031835115,0.002478964,0.204981119,6.7,0.78,14,3185,188,13.4,8.89,0,8.25,0,0,0
SE36A,266,4,26698,0.752792718,0.941176471,0.964375,0.754545455,0.752,0.269124715,0.177493629,0.057056806,0.061383213,0.006951834,0.269409972,6.7,1.09,11.1,1900,200,7.73,3.89,0,2.78,0,0,0
SE37A,273,4,22670,0.896662055,0.975409836,0.972142857,0.747619048,0.92,0.212574815,0.121980919,0.027901854,0.032186562,0.004715229,0.178651526,6.7,1.25,12.7,2910,268,25.66,5.56,0,5.48,0,0,0
SE38A,280,4,21571,0.942694097,0.986363636,0.982727273,0.8,0.92,0.406521636,0.224374796,0.044709522,0.047976915,0.006658865,0.32488225,6.7,0.81,12.1,2745,211,16.81,-2.22,0,0.32,0,0,0
SE39A,287,4,12684,0.852877565,0.965,0.986875,0.761538462,0.685714286,0.313762105,0.18727142,0.03064265,0.038424602,0.004657528,0.277233782,6.8,1.16,12,1720,233,10.86,6.11,0,6.59,0,0,0
SE40A,294,4,23741,0.896328598,0.975333333,0.983094406,0.771003017,0.720328283,0.624469152,0.358442549,0.031177309,0.036849528,0.004632327,0.525011057,6.7,0.78,11.3,2550,0,12.52,0,0,1.51,0,0,0
SE41A,301,4,16790,0.8647053,0.9678125,0.983094406,0.771003017,0.720328283,0.342565573,0.205823108,0.031177309,0.036849528,0.004632327,0.301058016,6.7,0.8,11.2,3005,213,27.35,-5,0,-7.3,0,0,0
SE42A,308,4,16965,0.851288294,0.964615385,0.991304348,0.818181818,0.617647059,0.272677316,0.162982533,0.029633188,0.035091933,0.002729373,0.241322902,6.6,1.02,10.8,3435,245,33.04,-6.67,0,-3.97,0,0,0
SE43A,315,4,14869,0.876533034,0.970625,0.969642857,0.774358974,0.704545455,0.310543679,0.181394792,0.031711968,0.035274454,0.003620888,0.266977892,6.7,0.56,10.4,3350,215,20.21,-11.11,0,-9.68,0,0,0
SE44A,322,4,25633,0.804860588,0.953571429,0.983461538,0.767647059,0.736111111,0.37136904,0.232094784,0.044454409,0.045375834,0.004607125,0.347707542,6.6,1.15,9.4,3880,201,8.64,5,0,-1.03,0,0,0
SE45A,329,4,25539,0.67136623,0.921818182,0.894736842,0.703703704,0.796551724,0.379399406,0.27479357,0.046069928,0.051489919,0.00626009,0.425856476,6.6,0.88,9.2,2480,250,12.36,1.11,0,2.38,0,0,0
SE46A,336,4,27894,0.691766671,0.926666667,0.817647059,0.657692308,0.674074074,0.508889263,0.359588778,0.044948597,0.055296476,0.005885356,0.554350634,6.6,0.71,9.8,2270,247,9.6,1.11,0,1.75,0,0,0
SE47A,350,4,17151,0.68054017,0.924,0.835,0.607142857,0.760714286,0.184908368,0.132435727,0.023935894,0.024365881,0.003052902,0.204783169,6.5,0.85,9.4,3149,254,8.89,-0.56,0,-0.08,0,0,0
SE48A,357,1,14697,0.761835685,0.943333333,0.987391304,0.666666667,0.739473684,0.215738406,0.140912744,0.028269686,0.027385869,0.003497922,0.21338657,6.7,0.77,9.8,3107,219,7.38,-1.11,0,-1.11,0,0,0
SE49A,364,1,25249,0.776509081,0.946835443,0.82,0.729166667,0.826086957,0.277246446,0.178330331,0.029324373,0.041721668,0.004529781,0.269048396,6.6,0.59,9.2,2787,215,13.97,1.11,0,0.08,0,0,0
SE50A,371,1,18749,0.873927013,0.97,0.969090909,0.728125,0.923076923,0.268968761,0.157478966,0.031466275,0.034388565,0.005313255,0.231937697,6.6,0.78,10.6,3343,305,10.99,4.44,0,2.54,0,0,0
SE51A,378,1,16852,0.881310702,0.971764706,0.969230769,0.722222222,0.794871795,0.384949254,0.223905418,0.034155064,0.035239351,0.004201615,0.329216272,6.7,1.59,10.6,3272,257,5.81,3.33,0,3.1,0,0,0
SE52A,385,1,16545,0.88939171,0.973684211,0.9936,0.766666667,0.681818182,0.41635434,0.24044187,0.032284195,0.035871328,0.003899057,0.352771855,6.7,1.35,11,3350,310,5.16,5,0,3.97,0,0,0
