"SampleID","Day","AirTemp_.C.","Ammonium_.uM.","AtmPressure_.24hrAVG_hPa.","ChlorophyllConc_.24hrAVG_ug.L.","DomWavePd_.24hrAVG_sec.","Macroalgae","Nitrite.Nitrate_.uM.","Phosphate_.uM.","Salinity_.PPT.","Silicate_.uM.","TidalDirection","WaterLevel_.m.","WaterTemp_.C.","WaveHeight_.24hrAVG_m.","WindSpeed_.24hrAVG_m.s."
"nahant_5um_d1_544",1,27,0.1,1012,4,6.25,3,0,0.1,33.54,3.9,0,3.876,17.5,0.36,2.7
"nahant_5um_d2_547",2,26.5,0.4,1008.3,4,5.77,0,0.6,0.2,33.24,4.2,1,4.019,18.75,0.43,4.4
"nahant_5um_d3_550",3,21,0.3,1009,3.7,5.97,0,0.6,0.1,32.94,3.9,1,3.645,20,0.48,5.5
"nahant_5um_d4_553",4,26,0.3,1013.6,3.9,6.12,0,0,0.1,33.83,3.5,1,3.34,17,0.37,4.6
"nahant_5um_d5_556",5,29,0.6,1016.1,3.4,4.685,0,0,0,33.83,3.1,1,3.018,20,0.2,3.2
"nahant_5um_d6_559",6,23,0.3,1011.1,4.6,3.39,0,0.2,0.1,33.83,3.3,1,2.845,15,0.6,6.5
"nahant_5um_d7_562",7,24,0.4,1010.5,4.1,3.51,0,0.3,0,33.54,3.2,1,2.434,17,0.37,4.4
"nahant_5um_d8_565",8,23,0.8,1013.4,4,3.6,0,0.3,0.1,33.83,3.5,1,2.134,17.5,0.43,5
"nahant_5um_d9_568",9,23.75,0.5,1016.8,4,4.26,3,6.2,0.2,33.24,5.7,1,1.898,19,0.36,3.6
"nahant_5um_d10_571",10,23.5,0,1020.4,4,5.94,0,0.8,0,33.83,2.9,1,1.704,18.3,0.49,4.4
"nahant_5um_d11_574",11,26.5,0.5,1019.6,4.7,7.43,0,0.6,0.1,33.83,2.4,1,1.614,13.5,0.61,5.5
"nahant_5um_d12_576",12,27,0.2,1014.4,5.2,4.86,0,1.2,0,34.42,6.2,0,1.712,10.9,0.71,6.2
"nahant_5um_d13_579",13,24.5,0.8,1007.2,4.7,7.2,0,2.4,0.3,34.125,6.3,0,2.114,10.7,0.47,4.1
"nahant_5um_d14_582",14,28.7,0.7,1001.6,5.8,8.44,0,3,0.2,33.83,4.5,0,2.422,13.5,0.34,4.8
"nahant_5um_d15_585",15,24.2,0.8,1008.5,6.5,6.48,0,1.8,0.2,34.42,4.7,0,3.093,11.2,0.51,3.7
"nahant_5um_d16_588",16,26.3,0.5,1015.9,5.5,8.51,0,1.7,0.3,34.42,4.2,0,3.612,11,0.46,3.1
"nahant_5um_d17_591",17,26.4,0,1016.4,5.6,7.5,0,0,0,33.83,4,0,4.039,12.8,0.6,4.4
"nahant_5um_d18_594",18,25.6,0.2,1012.8,5.1,8.01,3,0.3,0.1,34.125,3.7,1,4.245,13.8,0.56,3.7
"nahant_5um_d19_597",19,20.6,0.3,1011.1,5,8.35,3,1.4,0,34.125,3.5,1,4.084,15.7,0.47,3.1
"nahant_5um_d20_600",20,25,1,1013.1,5,6.81,1,0.9,0,33.83,2.7,1,3.472,18.2,0.41,2.5
"nahant_5um_d21_603",21,22,0.7,1016.8,5.2,5.26,0,0.3,0.1,34.42,1.4,1,3.311,19.5,0.43,3.6
"nahant_5um_d22_606",22,23.2,1.4,1020.8,5.3,6.08,0,0.6,0,33.83,0.8,1,2.121,18.7,0.53,2.3
"nahant_5um_d23_609",23,26.5,0.6,1020.6,6.2,7.71,0,0,0,33.24,3.9,1,2.023,18.3,0.65,3.7
"nahant_5um_d24_612",24,21.4,0.2,1017.7,6,9.12,0,1.5,0,33.83,4.4,1,1.545,17.7,0.95,5.1
"nahant_5um_d25_615",25,30.2,0.1,1014.6,6.1,9.68,3,2.4,0.2,34.42,3.2,1,1.41,14.8,1.03,3.8
"nahant_5um_d26_618",26,22,0.5,1016.3,5.5,9.8,0,5.1,0,33.83,2.5,0,1.655,16.8,0.75,2.6
"nahant_5um_d27_621",27,25.7,0.1,1015.3,5.5,8.86,3,0,0,34.42,2.6,0,2.307,18.7,0.48,2.4
"nahant_5um_d29_624",29,20.3,0.7,1015.9,5.2,7.04,1,6.7,0.1,34.42,3.1,0,3.03,19.3,0.39,2.7
"nahant_5um_d30_627",30,20.1,0.1,1018.3,5.6,6.58,2,7.4,0,33.83,2.8,0,3.662,18.7,0.45,4.2
"nahant_5um_d31_630",31,17.4,0,1015.8,8,6.06,4,1.3,0,33.83,2.4,0,4.113,18.7,1.35,8.2
"nahant_5um_d32_633",32,17.7,0.3,1015.8,10.3,9.01,4,0,0.1,34.42,3.9,1,4.178,17.6,3.18,10.7
"nahant_5um_d33_636",33,20.7,0.5,1014.4,9.9,8.98,4,1.7,0.3,32.06,2.8,1,4.255,17.5,2.69,9.6
"nahant_5um_d34_639",34,23,0.2,1008.1,9.4,8.74,4,3.9,0.3,34.42,5.3,1,3.6,17.8,1.85,5.4
"nahant_5um_d35_642",35,21.3,0,1013.7,6.4,9.1,2,1.2,0,33.83,7.6,1,3.353,17.8,0.81,4.9
"nahant_5um_d36_645",36,23,0,1018.6,6.6,9.72,2,0.9,0.1,33.83,6.7,1,3.273,18,0.43,3.3
"nahant_5um_d38_648",38,28.3,0,1019,5.7,12.47,2,2.4,0.1,33.83,8.1,1,2.522,20,0.63,3.5
"nahant_5um_d39_651",39,31.8,0.4,1018.4,5.6,13.55,4,1.6,0.2,33.83,7.7,1,2.343,20,0.72,3.1
"nahant_5um_d40_654",40,27.5,0.7,1016.1,5.4,11.75,3,1.3,0,33.83,4.9,1,1.839,20,0.92,2.9
"nahant_5um_d41_657",41,31,0.5,1014.5,5.5,11.38,1,2.2,0.2,34.42,4.1,1,1.749,20.8,0.58,3.5
"nahant_5um_d42_660",42,25.3,0.6,1012.4,5.3,12.55,0,0.8,0.1,33.83,7.1,0,2.116,17.1,0.58,4.1
"nahant_5um_d43_663",43,24.8,0.7,998.9,6.6,9.99,2,0.4,0.2,33.83,5.2,0,2.046,19.6,0.94,6.9
"nahant_5um_d44_666",44,22.4,1.3,1004.8,6.6,9.6,0,2.9,0.2,34.42,8.9,0,2.831,16.2,0.97,8.7
"nahant_5um_d45_670",45,25.7,0,1017.1,6.2,8.19,0,0,0,34.42,8.8,0,3.672,15.3,0.45,4.8
"nahant_5um_d46_672",46,22.1,0.2,1021.2,6.8,4.44,0,2.1,0.2,34.42,7.3,0,4.289,15.2,0.46,5.5
"nahant_5um_d47_675",47,24.6,0.4,1013,6.8,3.13,1,6.3,0.5,35.01,7.9,0,4.509,13.8,0.52,5.3
"nahant_5um_d48_678",48,21.8,0,1004.1,6.3,3.15,0,0,0,34.42,3.4,1,4.808,16.1,0.46,6
"nahant_5um_d49_681",49,18.4,0.1,1004.8,6.7,3.4,1,12,0.2,33.83,8.6,1,4.353,14.6,0.5,7.3
"nahant_5um_d51_684",51,16.5,0.7,1017.9,7.7,5.72,0,2.2,0,34.42,2.4,1,2.777,15.2,0.68,5
"nahant_5um_d52_687",52,18.5,0,1018.3,7.7,5.75,3,1.3,0,34.42,2,1,2.443,16,0.88,3.8
"nahant_5um_d53_690",53,20.8,0.2,1012.4,7.4,7.61,3,8.8,0,34.42,5.1,1,1.669,16.1,0.76,4.9
"nahant_5um_d54_693",54,18.1,1,1011.9,6.4,6.42,1,16.1,0.2,34.42,7.3,1,1.687,16.6,0.69,5.5
"nahant_5um_d55_696",55,19.7,1.4,1018.3,6.8,5.05,2,1.6,0.2,35.01,7.8,0,1.641,14.9,0.6,6
"nahant_5um_d56_699",56,15.6,0.8,1010.9,8.3,7.19,0,2.5,0.2,34.42,4.4,0,2.319,15,0.79,7.3
"nahant_5um_d57_702",57,19,0,1019.4,8.6,7.63,0,0.8,0.1,34.42,4.3,0,2.31,16.3,0.9,4
"nahant_5um_d58_705",58,19.5,0,1021.7,7.1,13.49,0,1.3,0.1,34.42,4.9,0,3.153,16,0.76,3.6
"nahant_5um_d59_708",59,16.5,0,1015.7,6.7,14.71,1,0,0,34.42,2.4,0,3.769,16.4,1.01,5.1
"nahant_5um_d60_711",60,17,0,1016.7,8.7,13.81,3,0.8,0,35.01,4.3,0,3.935,16.2,1.35,7.3
"nahant_5um_d61_714",61,24.4,0.1,1016.9,8.2,9.73,0,1,0.1,34.42,5.1,1,3.94,16,1,7.1
"nahant_5um_d62_718",62,21.6,0.1,1016.3,7,11.01,0,2.4,0.2,34.42,5.4,1,4.007,16.8,0.43,3.5
"nahant_5um_d63_720",63,22.8,0,1021.8,6.8,7.76,0,0,0.1,35.01,3.3,1,4.163,15.7,0.45,5
"nahant_5um_d64_723",64,24.5,0,1010.1,6.2,3.29,0,0.2,0.1,34.42,3.6,1,4.103,15.5,0.66,6.5
"nahant_5um_d65_726",65,19.6,0,1011.9,4.2,7.74,3,0.4,0,34.42,2.4,1,3.286,15.6,0.33,3.5
"nahant_5um_d66_729",66,15.7,0,1021.2,5.3,6.09,3,0.6,0,34.42,1.8,1,3.131,15.8,1.56,7.8
"nahant_5um_d67_733",67,22.8,0,1015.5,5,6.39,0,0.3,0.1,34.42,3,1,3.342,16.1,1.02,4.4
"nahant_5um_d68_735",68,23.3,0.8,1009.8,5.2,5.83,1,0.2,0.1,34.42,3,1,2.465,15.7,0.95,5.9
"nahant_5um_d69_738",69,20.4,0,1014.2,3.9,7.38,2,4,0,34.42,4,1,2.177,16.6,0.55,3.9
"nahant_5um_d70_741",70,24.1,0,1007.9,6.1,4.73,2,4.8,0.4,34.42,9,1,1.749,13.4,1.18,8.8
"nahant_5um_d71_744",71,16.3,0.5,1004.2,8,5.48,2,3.4,0,36.79,6.1,1,1.539,14.7,1.3,8.5
"nahant_5um_d72_747",72,12.9,0,1017.5,6.2,8.24,2,2,0.2,35.01,4.7,0,2.294,14.3,1.02,5.9
"nahant_5um_d73_750",73,12.9,0,1021.7,9.4,6.9,2,0,0,34.42,2.5,0,2.35,14,2.27,11.2
"nahant_5um_d74_753",74,13.9,0,1018.9,11.8,8.6,3,2.8,0,34.42,2.5,0,3.632,14,3.07,11.2
"nahant_5um_d75_756",75,16,0.6,1017.2,8.1,7.58,3,3.4,0.3,34.42,3.1,0,4.38,14.9,1.95,8.1
"nahant_5um_d76_759",76,12.4,0.3,1002.8,7.5,8.33,2,1.1,0.1,34.42,3.8,1,4.829,14.7,2.06,8.4
"nahant_5um_d77_762",77,16,0.6,1004.5,7.1,5.12,2,0.8,0,35.01,3.8,1,4.464,15,0.83,9.1
"nahant_5um_d78_765",78,15.1,0.3,1007.1,7.6,2.94,0,4,0.4,33.83,7.2,1,4.042,14.7,0.5,6.7
"nahant_5um_d79_768",79,15.8,0.3,1012,7.9,3.74,1,0.6,0,34.42,4.9,1,4.239,14.9,0.89,9
"nahant_5um_d80_771",80,19.3,1.7,1005.9,6,3.23,0,4.7,0.4,34.42,7.6,1,3.539,14.55,0.41,5.7
"nahant_5um_d81_774",81,13.2,0.8,1007.9,6.6,7.12,0,21.7,0.6,33.83,10.5,1,2.568,14.4,0.38,4.1
"nahant_5um_d82_777",82,13.5,0.3,1011.6,7.5,4.12,3,5.3,0.3,34.42,6,1,2.102,14.2,0.71,6
"nahant_5um_d83_780",83,15.2,0.5,1016.3,5.6,5.06,0,2.2,0.3,34.42,5,1,1.711,14,0.47,4
"nahant_5um_d84_783",84,10,0.5,1001.9,8.4,5.16,0,1.3,0.3,33.83,4.7,0,2.427,13.9,1.34,9.4
"nahant_5um_d85_786",85,11.5,0.4,990.6,7.2,8.74,0,3.5,0.4,34.42,6.9,0,2.071,13,1.9,14
"nahant_5um_d86_789",86,12.8,0.4,1005.5,6.5,6.75,0,3.4,0.3,34.42,8.4,0,2.157,12.9,1.46,11.2
"nahant_5um_d87_792",87,10,1.1,1007.6,5.7,7.27,1,6.6,0.7,35.01,7.2,0,3.296,11.8,0.69,7.5
"nahant_5um_d88_795",88,9.1,0,1011.5,6.4,3.04,1,3.7,0.2,34.72,7.6,0,3.445,11.6,0.49,5.8
"nahant_5um_d90_798",90,13.7,0.4,1007.5,6,6.97,2,1.6,0,34.42,6.1,0,4.203,12,0.46,4.9
"nahant_5um_d91_801",91,9.7,0.3,1004,7.5,3.78,0,1.4,0,34.42,6.3,0,3.951,11.4,0.95,9.9
"nahant_5um_d92_804",92,8.7,0.3,1013.9,7.9,3.83,1,3.7,0.3,35.01,7.1,1,3.957,11.2,0.98,10.8
